nom du son,Durée (sec),Motcle 1,Motcle 2,Motcle 3,Motcle 4,Motcle 5,Motcle 6,Motcle 7,Motcle 8,Motcle 9,Motcle 10,Motcle 11,Motcle 12,Motcle 13,Motcle 14,Motcle 15,Motcle 16,Motcle 17,Motcle 18,Nuance 1,Nuance 2,Nuance 3,Nuance 4,Nuance 5,Nuance 6,Nuance 7,Attaque 1,Attaque 2,Attaque 3,Relâchement 1,Relâchement 2,Relâchement 3,Note Fondamental 1,Note Fondamental 2,Note Fondamental 3,Note Fondamental 4,Note Fondamental 5,Note Fondamental 6,Note Fondamental 7,Note Fondamental 8,Note Fondamental 9,Note Fondamental 10,Note Fondamental 11,Note Fondamental 12,Note Fondamental 13,Phrase Musical?,Phrasé,note dans l'Accord 1,note dans l'Accord 2,note dans l'Accord 3,note dans l'Accord 4,note dans l'Accord 5,note dans l'Accord 6,note dans l'Accord 7,note dans l'Accord 8,note dans l'Accord 9,note dans l'Accord 10,note dans l'Accord 11,note dans l'Accord 12,Tempo,Variation de Tempo,priorité (de 0 à 100)
silence1s,1,silence,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_C-1,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,do,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,do,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_Db,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,reb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,reb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_D,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,re,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,re,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_Eb,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,mib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,mib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_E,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_F,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,fa,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,fa,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_Gb,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,solb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,solb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_G,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,sol,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,sol,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_Ab,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,lab,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,lab,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_A,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,la,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,la,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_Bb,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,sib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,sib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_B,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,si,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,si,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
percu-basse_pro_2_sher_DSI-ra_Rydm_C,2,percussion,synthetique,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,forte,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,do,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,do,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
