nom de recette,filtre,séquence,départ séquence,type de lecture,nbre de canal de lecture max,départ vers effet A,départ vers effet B,départ vers effet C,départ vers effet D,départ vers effet E,départ vers effet F,départ vers effet G,départ vers effet H
recette_nul,,nul,begin,normal,0,0,0,0,0,0,0,0,0
recette_rare,,rare,begin,normal,2,0,0,0,0,0,0,0,0
recette_peu,,peu,begin,normal,2,0,0,0,0,0,0,0,0
recette_normal,,normal,begin,normal,2,0,0,0,0,0,0,0,0
recette_frequent,,frequent,begin,normal,1,0,0,0,0,0,0,0,0
recette_continue,,continue,begin,normal,1,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
