nom du filtre,Durée mini (sec),Durée maxi (sec),Motcle 1,Motcle 2,Motcle 3,Motcle 4,Motcle 5,Motcle 6,Motcle 7,Motcle 8,Motcle 9,Motcle 10,Motcle 11,Motcle 12,Motcle 13,Motcle 14,Motcle 15,Motcle 16,Motcle 17,Motcle 18,Nuance 1,Nuance 2,Nuance 3,Nuance 4,Nuance 5,Nuance 6,Nuance 7,Attaque 1,Attaque 2,Attaque 3,Relâchement 1,Relâchement 2,Relâchement 3,Note Fondamental 1,Note Fondamental 2,Note Fondamental 3,Note Fondamental 4,Note Fondamental 5,Note Fondamental 6,Note Fondamental 7,Note Fondamental 8,Note Fondamental 9,Note Fondamental 10,Note Fondamental 11,Note Fondamental 12,Note Fondamental 13,Phrase Musical?,Phrasé,note dans l'Accord 1,note dans l'Accord 2,note dans l'Accord 3,note dans l'Accord 4,note dans l'Accord 5,note dans l'Accord 6,note dans l'Accord 7,note dans l'Accord 8,note dans l'Accord 9,note dans l'Accord 10,note dans l'Accord 11,note dans l'Accord 12,Tempo min,Tempo max,Variation de Tempo,priorité (de 0 à 100)
do_medium,0,999,instrumental,saturation_hard,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,,,,,,,,,,,,0,994,,50
do_aigue,0,999,instrumental,saturation_hard,,,,,,,,,,,,,,,,,aigue,,,,,,,,,,,,,do,,,,,,,,,,,,,,,,,,,,,,,,,,,0,995,,50
mi_medium,0,999,instrumental,saturation_hard,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,mi,,,,,,,,,,,,,,,,,,,,,,,,,,,0,996,,50
sol,0,999,instrumental,saturation_hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sol,,,,,,,,,,,,,,,,,,,,,,,,,,,0,997,,50
silence,0,999,silence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,998,,50
,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,999,,50
,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,999,,50
,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,999,,50
,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,999,,50
,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,999,,50
,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,999,,50
,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,999,,50
