nom séquence,taille du pas,longueur séquence,nombre de boucle séquence(-1 = inf),trig,temps du trig (en pas),volume (vélocité),filtre,chance de jeu (entre 0 et 100),départ vers effet A,départ vers effet B,départ vers effet C,départ vers effet D,départ vers effet E,départ vers effet F,départ vers effet G,départ vers effet H
rare,1,64,-1,1,5,100,do_medium,100,0,0,0,0,0,0,0,0
,,,,2,,,,100,0,0,0,0,0,0,0,0
,,,,3,,,,100,0,0,0,0,0,0,0,0
,,,,4,,,,100,0,0,0,0,0,0,0,0
,,,,5,,,,100,0,0,0,0,0,0,0,0
,,,,6,,,,100,0,0,0,0,0,0,0,0
,,,,7,,,,100,0,0,0,0,0,0,0,0
,,,,8,,,,100,0,0,0,0,0,0,0,0
,,,,9,,,,100,0,0,0,0,0,0,0,0
,,,,10,,,,100,0,0,0,0,0,0,0,0
,,,,11,,,,100,0,0,0,0,0,0,0,0
,,,,12,,,,100,0,0,0,0,0,0,0,0
,,,,13,,,,100,0,0,0,0,0,0,0,0
,,,,14,,,,100,0,0,0,0,0,0,0,0
,,,,15,,,,100,0,0,0,0,0,0,0,0
,,,,16,,,,100,0,0,0,0,0,0,0,0
,,,,17,,,,100,0,0,0,0,0,0,0,0
,,,,18,,,,100,0,0,0,0,0,0,0,0
,,,,19,,,,100,0,0,0,0,0,0,0,0
,,,,20,,,,100,0,0,0,0,0,0,0,0
,,,,21,,,,100,0,0,0,0,0,0,0,0
,,,,22,,,,100,0,0,0,0,0,0,0,0
,,,,23,,,,100,0,0,0,0,0,0,0,0
,,,,24,,,,100,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
peu,1,64,-1,1,5,90,mi_medium,100,0,0,0,0,0,0,0,0
peu,1,64,-1,2,28,90,sol,100,0,0,0,0,0,0,0,0
,,,,3,,,,100,0,0,0,0,0,0,0,0
,,,,4,,,,100,0,0,0,0,0,0,0,0
,,,,5,,,,100,0,0,0,0,0,0,0,0
,,,,6,,,,100,0,0,0,0,0,0,0,0
,,,,7,,,,100,0,0,0,0,0,0,0,0
,,,,8,,,,100,0,0,0,0,0,0,0,0
,,,,9,,,,100,0,0,0,0,0,0,0,0
,,,,10,,,,100,0,0,0,0,0,0,0,0
,,,,11,,,,100,0,0,0,0,0,0,0,0
,,,,12,,,,100,0,0,0,0,0,0,0,0
,,,,13,,,,100,0,0,0,0,0,0,0,0
,,,,14,,,,100,0,0,0,0,0,0,0,0
,,,,15,,,,100,0,0,0,0,0,0,0,0
,,,,16,,,,100,0,0,0,0,0,0,0,0
,,,,17,,,,100,0,0,0,0,0,0,0,0
,,,,18,,,,100,0,0,0,0,0,0,0,0
,,,,19,,,,100,0,0,0,0,0,0,0,0
,,,,20,,,,100,0,0,0,0,0,0,0,0
,,,,21,,,,100,0,0,0,0,0,0,0,0
,,,,22,,,,100,0,0,0,0,0,0,0,0
,,,,23,,,,100,0,0,0,0,0,0,0,0
