etape_precedente,etape_suivante,condition1,operateur,condition2
init,1A,toujours_vrai,or,nc
init,1B,mvt_cam_moy,or,bouton2
init,1C,nc,or,nc
init,1D,nc,or,nc
1A,2A,tempo7s,or,bouton1
1A,2B,mvt_cam_moy,or,bouton2
1B,2A,tempo7s,or,bouton1
1B,2B,mvt_cam_moy,or,bouton2
1C,2C,nc,or,nc
1C,2D,nc,or,nc
1D,2D,nc,or,nc
1D,2C,nc,or,nc
2A,3A,bouton1,or,tempo7s
2A,3B,mvt_cam_moy,or,bouton2
2B,3A,bouton1,or,tempo7s
2B,3B,mvt_cam_moy,or,bouton2
2C,3C,nc,or,nc
2C,3D,nc,or,nc
2D,3D,nc,or,nc
2D,3C,nc,or,nc
3A,init,bouton1,or,tempo7s
3B,init,nc,or,nc
3C,init,nc,or,nc
3D,init,nc,or,nc
