nom du son,Durée (sec),Motcle 1,Motcle 2,Motcle 3,Motcle 4,Motcle 5,Motcle 6,Motcle 7,Motcle 8,Motcle 9,Motcle 10,Motcle 11,Motcle 12,Motcle 13,Motcle 14,Motcle 15,Motcle 16,Motcle 17,Motcle 18,Nuance 1,Nuance 2,Nuance 3,Nuance 4,Nuance 5,Nuance 6,Nuance 7,Attaque 1,Attaque 2,Attaque 3,Relâchement 1,Relâchement 2,Relâchement 3,Note Fondamental 1,Note Fondamental 2,Note Fondamental 3,Note Fondamental 4,Note Fondamental 5,Note Fondamental 6,Note Fondamental 7,Note Fondamental 8,Note Fondamental 9,Note Fondamental 10,Note Fondamental 11,Note Fondamental 12,Note Fondamental 13,Phrase Musical ?,Phrasé,note dans l'Accord 1,note dans l'Accord 2,note dans l'Accord 3,note dans l'Accord 4,note dans l'Accord 5,note dans l'Accord 6,note dans l'Accord 7,note dans l'Accord 8,note dans l'Accord 9,note dans l'Accord 10,note dans l'Accord 11,note dans l'Accord 12,Tempo,Variation de Tempo,priorité (de 0 à 100)
accord_vinyle_hiphop_simple_E7,1,synthetique,sample,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,mi,lab,si,mib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_vinyle_hiphop_simple_F7,1,synthetique,sample,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,fa,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,fa,la,do,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_vinyle_hiphop_simple_G7,1,synthetique,sample,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,sol,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,sol,si,re,solb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_vinyle_hiphop_simple_Gb7,1,synthetique,sample,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,solb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,solb,sib,reb,fa,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_pro2_sher_orgue_poly_lo-fi_E7,5,synthetique,orgue,clavier,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,mi,lab,si,mib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_pro2_sher_orgue_poly_lo-fi_Em7_01,5,synthetique,orgue,clavier,saturation_light,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,mi,sol,si,mib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_pro2_sher_orgue_poly_lo-fi_Em7_02,5,synthetique,orgue,clavier,saturation_light,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,mi,sol,si,mib,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_pro2_sher_orgue_poly_lo-fi_F7,5,synthetique,orgue,clavier,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,fa,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,fa,la,do,mi,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_pro2_sher_orgue_poly_lo-fi_G7,5,synthetique,orgue,clavier,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,sol,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,sol,si,re,solb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
accord_pro2_sher_orgue_poly_lo-fi_Gb7,5,synthetique,orgue,clavier,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,mezzo,nc,nc,nc,nc,nc,nc,rapide,nc,nc,lent,nc,nc,solb,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,False,nc,solb,sib,reb,fa,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc,50
