nom séquence,taille du pas,longueur séquence,nombre de boucle séquence(-1 = inf),trig,temps du trig (en pas),volume (vélocité),filtre,chance de jeu (entre 0 et 100),départ vers effet A,départ vers effet B,départ vers effet C,départ vers effet D,départ vers effet E,départ vers effet F,départ vers effet G,départ vers effet H
rythme_hiphop_simple,1,16,-1,1,1,100,GC_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,2,11,85,GC_filtre,50,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,3,3,75,GC_filtre,25,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,4,15,75,GC_filtre,25,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,5,9,100,CC_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,6,13,30,CC_filtre,25,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,7,14,30,CC_filtre,25,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,8,15,60,CC_filtre,25,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,9,1,25,HH_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,10,3,25,HH_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,11,5,25,HH_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,12,7,25,HH_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,13,9,25,HH_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,14,11,25,HH_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,15,13,25,HH_filtre,100,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,16,15,25,HH_filtre,75,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,17,16,25,HH_filtre,25,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,18,10,25,HH_filtre,25,0,0,0,0,0,0,0,0
rythme_hiphop_simple,1,16,-1,19,14,25,HH_filtre,100,0,0,0,0,0,0,0,0
,1,16,-1,20,,,,100,0,0,0,0,0,0,0,0
,1,16,-1,21,,,,100,0,0,0,0,0,0,0,0
,1,16,-1,22,,,,100,0,0,0,0,0,0,0,0
,1,16,-1,23,,,,100,0,0,0,0,0,0,0,0
,1,16,-1,24,,,,100,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
accord_hiphop_simple,2,64,,1,1,100,GC_filtre,100,0,0,0,0,0,0,0,0
accord_hiphop_simple,2,64,0,2,13,100,GC_filtre,100,0,0,0,0,0,0,0,0
accord_hiphop_simple,2,64,0,3,33,100,GC_filtre,100,0,0,0,0,0,0,0,0
accord_hiphop_simple,2,64,0,4,45,100,GC_filtre,100,0,0,0,0,0,0,0,0
accord_hiphop_simple,2,64,0,5,1,100,accord_G7_filtre,100,0,0,0,0,0,0,0,0
accord_hiphop_simple,2,64,0,6,13,100,accord_Gb7_filtre,100,0,0,0,0,0,0,0,0
accord_hiphop_simple,2,64,0,7,33,100,accord_F7_filtre,100,0,0,0,0,0,0,0,0
accord_hiphop_simple,2,64,0,8,45,100,accord_E7_filtre,100,0,0,0,0,0,0,0,0
,2,64,0,9,,,,100,0,0,0,0,0,0,0,0
,2,64,0,10,,,,100,0,0,0,0,0,0,0,0
,2,64,0,11,,,,100,0,0,0,0,0,0,0,0
,2,64,0,12,,,,100,0,0,0,0,0,0,0,0
,2,64,0,13,,,,100,0,0,0,0,0,0,0,0
,2,64,0,14,,,,100,0,0,0,0,0,0,0,0
,2,64,0,15,,,,100,0,0,0,0,0,0,0,0
,2,64,0,16,,,,100,0,0,0,0,0,0,0,0
,2,64,0,17,,,,100,0,0,0,0,0,0,0,0
,2,64,0,18,,,,100,0,0,0,0,0,0,0,0
,2,64,0,19,,,,100,0,0,0,0,0,0,0,0
,2,64,0,20,,,,100,0,0,0,0,0,0,0,0
,2,64,0,21,,,,100,0,0,0,0,0,0,0,0
,2,64,0,22,,,,100,0,0,0,0,0,0,0,0
,2,64,0,23,,,,100,0,0,0,0,0,0,0,0
,2,64,0,24,,,,100,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
nc,,nc,,1,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,2,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,3,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,4,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,5,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,6,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,7,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,8,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,9,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,10,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,11,,,,100,0,0,0,0,0,0,0,0
,0,nc,0,12,,,,100,0,0,0,0,0,0,0,0
