nom de recette,filtre,séquence,départ séquence,type de lecture,nbre de canal de lecture max,départ vers effet A,départ vers effet B,départ vers effet C,départ vers effet D,départ vers effet E,départ vers effet F,départ vers effet G,départ vers effet H
recette_nul,,,begin,normal,,0,0,0,0,0,0,0,0
recette_bourdon,,seq_bourdon,begin,normal,,0,0,0,0,0,0,0,0
recette_arpege,,seq_arp,begin,normal,,0,0,0,0,0,0,0,0
recette_bour_arp,,seq_bour_arp,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
,,,begin,normal,,0,0,0,0,0,0,0,0
