etape_precedente,etape_suivante,condition1,operateur,condition2
init,1A,pedal_bas,or,tempo_4s
init,1B,pedal_moy,or,tempo_4s
init,1C,pedal_haut,or,tempo_4s
1A,2A,toujours_vrai,or,nc
1A,2B,nc,or,nc
1A,2C,nc,or,nc
1B,2A,toujours_vrai,or,nc
1B,2B,nc,or,nc
1B,2C,nc,or,nc
1C,2A,toujours_vrai,or,nc
1C,2B,nc,or,nc
1C,2C,nc,or,nc
2A,3A,toujours_vrai,or,nc
2A,3B,nc,or,nc
2A,3C,nc,or,nc
2B,3A,toujours_vrai,or,nc
2B,3B,nc,or,nc
2B,3C,nc,or,nc
2C,3A,toujours_vrai,or,nc
2C,3B,nc,or,nc
2C,3C,nc,or,nc
3A,4A,toujours_vrai,or,nc
3A,4B,nc,or,nc
3A,4C,nc,or,nc
3B,4A,toujours_vrai,or,nc
3B,4B,nc,or,nc
3B,4C,nc,or,nc
3C,4A,toujours_vrai,or,nc
3C,4B,nc,or,nc
3C,4C,nc,or,nc
4A,init,toujours_vrai,or,nc
4B,init,nc,or,nc
4C,init,nc,or,nc
